name,online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city_location
Midas Touch,0,0,3.2,19,Bakery,Bakery FastFood Desserts,300.0,Delivery,brookefield
Mandya Gowdru Hotel,0,0,3.3,5,QuickBites,SouthIndian,200.0,Delivery,brookefield
Venice Kerala Restaurant,0,0,3.7,32,QuickBites,Kerala,200.0,Delivery,brookefield
Ovenstory Pizza,1,0,4.1,74,Delivery,Pizza,750.0,Delivery,marathahalli brookefield
Biggies Burger 'n' More,1,0,3.8,63,Cafe,Cafe Burger Beverages,650.0,Delivery,marathahalli brookefield
TBC - The Breakfast Company,1,0,3.8,26,QuickBites,Bihari NorthIndian SouthIndian,150.0,Delivery,marathahalli brookefield
Shanmukha,1,0,4.0,546,CasualDining,Biryani Andhra NorthIndian Chinese,800.0,Delivery,brookefield
Office Lunch Box,1,0,3.7,111,Delivery,Andhra NorthIndian,200.0,Delivery,whitefield brookefield
Desi Khana,1,0,3.4,242,QuickBites,NorthIndian,300.0,Delivery,"varthurmainroad,whitefield brookefield"
Skandas Veg Restaurant,0,0,3.2,22,CasualDining,SouthIndian NorthIndian,400.0,Delivery,brookefield
Orchard Fresh,0,0,3.3,21,DessertParlor,IceCream Desserts,400.0,Delivery,brookefield
Waffle Square,1,0,3.9,24,DessertParlor BeverageShop,Desserts Beverages IceCream,300.0,Delivery,marathahalli brookefield
Red Chilli,0,0,3.0,18,FineDining,Chinese Thai,600.0,Delivery,brookefield
Om Sweets & Fast Food,0,0,3.4,19,QuickBites,NorthIndian Chinese Mithai,200.0,Delivery,brookefield
Mast Kalandar,0,0,2.4,229,CasualDining,NorthIndian,450.0,Delivery,brookefield
Onesta,1,1,4.6,2750,CasualDining Cafe,Pizza Cafe Italian,600.0,Delivery,marathahalli brookefield
New Ambur Hot Dum Biryani,0,0,3.0,8,QuickBites,Biryani,300.0,Delivery,brookefield
Chatpata,0,0,3.2,4,FoodCourt,StreetFood,500.0,Delivery,brookefield
Andhra Spices,0,0,3.2,4,QuickBites,Andhra Chinese SouthIndian,400.0,Delivery,brookefield
CocoFresh,0,0,3.3,4,FoodCourt,Beverages,300.0,Delivery,brookefield
U.P. Dhaba,1,0,2.8,511,QuickBites,NorthIndian Chinese,350.0,Delivery,whitefield brookefield
KFC,1,0,2.8,246,FoodCourt,Burger FastFood,400.0,Delivery,"itplmainroad,whitefield brookefield"
Windy- Taste Of Home,1,1,3.6,109,QuickBites,NorthIndian,300.0,Delivery,whitefield brookefield
Dunkin' Donuts,1,0,4.0,180,QuickBites DessertParlor,Burger Desserts FastFood,550.0,Delivery,brookefield
Expresso Restaurant,1,0,3.5,4,Takeaway Delivery,FastFood Beverages,400.0,Delivery,whitefield brookefield
Brew and Barbeque - A Microbrewery Pub,1,1,4.7,5746,Microbrewery Pub,Continental NorthIndian BBQ Steak,1400.0,Delivery,marathahalli brookefield
Al-Bek,1,0,3.6,118,Takeaway Delivery,Biryani NorthIndian CharcoalChicken Chinese Seafood Rolls,300.0,Delivery,"varthurmainroad,whitefield brookefield"
Ganesh Bhavan,1,0,4.0,69,QuickBites,SouthIndian,200.0,Delivery,brookefield
Abhiruchi Andhra Mess,1,0,3.4,31,Mess,Andhra Biryani SouthIndian,300.0,Delivery,whitefield brookefield
WOW! Momo,1,0,2.9,44,FoodCourt QuickBites,Tibetan Momos,400.0,Delivery,whitefield brookefield
Punjabi Twist,1,0,4.1,141,QuickBites,NorthIndian,300.0,Delivery,marathahalli brookefield
Sidewalk - The Garden Bar,1,1,4.5,2949,Bar CasualDining,NorthIndian Continental Chinese Thai,1300.0,Delivery,marathahalli brookefield
Shreeji Restaurant,1,0,3.8,36,Takeaway Delivery,NorthIndian Gujarati,300.0,Delivery,"itplmainroad,whitefield brookefield"
Chaat Street,1,0,4.1,219,Kiosk,StreetFood NorthIndian,250.0,Delivery,"varthurmainroad,whitefield brookefield"
Thalassery Restaurant,1,0,3.0,530,CasualDining,Kerala Biryani SouthIndian NorthIndian Chinese Arabian Beverages,500.0,Delivery,whitefield brookefield
Beijing Bites,1,0,3.4,23,Takeaway Delivery,Chinese Thai Momos,400.0,Delivery,"varthurmainroad,whitefield brookefield"
North Wale Restaurant,0,0,2.9,115,CasualDining,NorthIndian Chinese,800.0,Delivery,brookefield
An Egg Story,0,0,4.1,701,Cafe,Cafe Continental American Italian,600.0,Delivery,brookefield
Radha Rani,1,0,3.3,244,QuickBites,Bengali NorthIndian Chinese,400.0,Delivery,brookefield
Chickpet Donne Biryani House,1,0,3.7,80,CasualDining,Biryani SouthIndian FastFood,600.0,Delivery,marathahalli brookefield
Nandini Deluxe,0,0,2.8,55,CasualDining,NorthIndian Chinese,600.0,Delivery,brookefield
Sorse,1,1,4.0,956,CasualDining,Bengali Seafood,750.0,Delivery,whitefield brookefield
Nizam's Biryani House,1,0,3.9,756,CasualDining,NorthIndian Biryani,1000.0,Delivery,marathahalli brookefield
Cake Menu,1,0,3.5,25,Bakery,Bakery,400.0,Delivery,marathahalli brookefield
Le Charcoal,1,1,3.9,328,CasualDining,Arabian Lebanese Mughlai NorthIndian BBQ,600.0,Delivery,brookefield
Galito's,1,1,4.6,586,CasualDining,African Burger,1000.0,Delivery,whitefield brookefield
Delhi Walle,1,0,3.9,631,QuickBites,NorthIndian StreetFood,300.0,Delivery,marathahalli brookefield
Lassi Corner,1,0,3.7,141,BeverageShop,Beverages Desserts,300.0,Delivery,marathahalli brookefield
Delhi Kitchen,1,0,2.9,142,Takeaway Delivery,NorthIndian,400.0,Delivery,"itplmainroad,whitefield brookefield"
Nandighosha,1,0,3.6,535,QuickBites,Bengali Seafood Oriya NorthIndian Biryani,400.0,Delivery,marathahalli brookefield
Coastal Hub,1,1,4.0,364,CasualDining,Kerala Seafood Chinese,700.0,Delivery,whitefield brookefield
Shyam's Lunch Box,1,0,3.2,9,QuickBites,Biryani SouthIndian Chinese NorthIndian Arabian Hyderabadi,300.0,Delivery,whitefield brookefield
Andhra Biryanis,1,0,4.0,108,CasualDining,Andhra Biryani NorthIndian,700.0,Delivery,whitefield brookefield
Raj Donne Biriyani,1,0,3.5,15,QuickBites,SouthIndian Biryani,450.0,Delivery,marathahalli brookefield
Suryawanshi,1,0,4.1,926,CasualDining,Maharashtrian Seafood,700.0,Delivery,whitefield brookefield
9D Foods,1,0,4.0,458,QuickBites,NorthIndian StreetFood,400.0,Delivery,marathahalli brookefield
Behrouz Biryani,1,0,3.9,167,Delivery,Biryani,650.0,Delivery,whitefield brookefield
Estaa Sweets,1,0,3.3,5,SweetShop,Mithai,300.0,Delivery,whitefield brookefield
The Fat Chef,1,1,4.1,1739,CasualDining,Japanese Italian American Asian NorthIndian Steak,1400.0,Delivery,whitefield brookefield
Bloomsbury's Global Kitchen & Bakehouse,1,1,4.5,733,Cafe DessertParlor,American Cafe Continental French Burger Mexican Desserts Pizza,900.0,Delivery,whitefield brookefield
New Paratha Corner,1,0,3.9,175,QuickBites,NorthIndian,350.0,Delivery,whitefield brookefield
The Egg Factory,1,0,4.0,738,CasualDining,Continental American,750.0,Delivery,whitefield brookefield
Daily Sushi,1,0,3.8,56,CasualDining,Korean Sushi,900.0,Delivery,whitefield brookefield
AKS Family Dhaba And Restaurant,1,0,3.6,41,QuickBites,NorthIndian Mughlai SouthIndian,500.0,Delivery,marathahalli brookefield
Punjabi Kitchen,1,0,3.6,202,QuickBites,Chinese NorthIndian,400.0,Delivery,whitefield brookefield
Bahar Cafe,1,1,4.0,903,CasualDining,Andhra Biryani Chinese Hyderabadi NorthIndian SouthIndian,750.0,Delivery,marathahalli brookefield
Boondock Bistro,1,1,4.0,1623,CasualDining Cafe,Steak Continental American Italian Salad Cafe,900.0,Delivery,whitefield brookefield
UBQ by Barbeque Nation,1,0,3.5,10,Delivery,NorthIndian BBQ Biryani Kebab,450.0,Delivery,whitefield brookefield
Sri Udupi Park,1,0,3.1,226,CasualDining,SouthIndian NorthIndian Chinese Beverages,500.0,Delivery,marathahalli brookefield
Healthie,1,0,3.9,118,Delivery,HealthyFood Beverages,600.0,Delivery,whitefield brookefield
Omleterian,1,0,3.3,4,Delivery,American Continental,200.0,Delivery,whitefield brookefield
Cakesta,1,0,4.1,119,Bakery,Bakery Desserts,500.0,Delivery,"itplmainroad,whitefield brookefield"
Mani's Dum Biryani,1,0,3.9,279,CasualDining,Biryani Kebab,750.0,Delivery,marathahalli brookefield
Kshatriya's Kitchen,1,0,3.7,54,QuickBites,Andhra SouthIndian,300.0,Delivery,whitefield brookefield
Rayalaseema Chefs,1,1,3.9,225,CasualDining,NorthIndian Biryani Andhra Chinese,800.0,Delivery,marathahalli brookefield
Biryani Paradise,1,0,3.8,131,CasualDining,Andhra Biryani,700.0,Delivery,whitefield brookefield
Bangaliana,1,0,3.6,124,QuickBites,Bengali,600.0,Delivery,marathahalli brookefield
Litti House,1,0,3.9,195,QuickBites,NorthIndian Bihari Rajasthani,300.0,Delivery,brookefield
Kalla's Restaurant,1,0,3.6,19,QuickBites,NorthIndian Juices,200.0,Delivery,marathahalli brookefield
Tim Cafe,1,0,3.6,39,Cafe,Cafe Sandwich Beverages,250.0,Delivery,marathahalli brookefield
Sherlock's Pub,1,1,3.5,261,Pub CasualDining,Continental NorthIndian Chinese,1500.0,Delivery,brookefield
Leon Grill,1,0,4.0,652,QuickBites,Turkish Arabian FastFood Salad HealthyFood Desserts,450.0,Delivery,marathahalli brookefield
Koylas,1,0,3.0,9,QuickBites,Kebab Mughlai Biryani,400.0,Delivery,brookefield
Green Hyderabad Biryani House,1,0,3.8,424,CasualDining,Biryani Hyderabadi Andhra NorthIndian,800.0,Delivery,whitefield brookefield
Cafesta,1,0,4.3,559,Cafe,Cafe Italian FastFood Desserts,550.0,Delivery,whitefield brookefield
Nagas,1,0,3.5,94,FoodCourt,Andhra SouthIndian Hyderabadi,500.0,Delivery,whitefield brookefield
YumYumDilli,1,0,3.3,34,Delivery,NorthIndian,500.0,Delivery,whitefield brookefield
Slurpy Shakes,1,0,3.5,8,BeverageShop,Beverages,300.0,Delivery,whitefield brookefield
Lassi Shop,1,0,3.7,11,BeverageShop,Beverages IceCream,200.0,Delivery,marathahalli brookefield
Taste Of India Family Restaurant,1,0,3.4,226,QuickBites,NorthIndian,400.0,Delivery,whitefield brookefield
Hyderabad Biryaani House,1,0,3.5,374,CasualDining,Biryani NorthIndian Chinese,550.0,Delivery,whitefield brookefield
Chefactory Gold by Flechazo,1,0,3.7,353,CasualDining,NorthIndian Biryani,700.0,Delivery,whitefield brookefield
R R Noodles Express,1,0,3.6,56,Takeaway Delivery,Chinese,300.0,Delivery,marathahalli brookefield
Biryani Feast,1,0,2.9,132,Delivery,Biryani NorthIndian Chinese,600.0,Delivery,marathahalli brookefield
Chulha Chauki Da Dhaba,1,0,4.1,295,CasualDining,NorthIndian,1000.0,Delivery,marathahalli brookefield
RoadHouse Grill,1,0,3.8,99,QuickBites,NorthIndian FastFood Burger BBQ,450.0,Delivery,whitefield brookefield
Chai Point,1,0,3.8,90,BeverageShop QuickBites,Tea Beverages FastFood,250.0,Delivery,whitefield brookefield
eat.fit,1,0,4.4,1034,Delivery,HealthyFood NorthIndian Biryani Continental Sandwich Desserts,500.0,Delivery,whitefield brookefield
You Mee,1,0,4.7,231,CasualDining,Sushi Japanese Chinese Thai,2000.0,Delivery,whitefield brookefield
Akshara,1,0,4.0,136,CasualDining,SouthIndian Kerala Andhra,1000.0,Delivery,marathahalli brookefield
Spellbound,1,0,3.3,4,QuickBites,StreetFood Burger Beverages FastFood Sandwich FingerFood,400.0,Delivery,whitefield brookefield
Sri Rajalakshmi Sweets,1,0,3.6,22,SweetShop,Mithai StreetFood,300.0,Delivery,marathahalli brookefield
Foxtrot,1,1,4.4,1151,Pub CasualDining,NorthIndian Chinese Continental Momos,1200.0,Delivery,marathahalli brookefield
Just Shawarma,1,0,3.8,197,QuickBites,Arabian,300.0,Delivery,brookefield
Namma Madurai,1,0,3.6,20,QuickBites,SouthIndian,200.0,Delivery,"varthurmainroad,whitefield brookefield"
Just Bake,1,0,3.7,81,Bakery,Bakery Desserts,400.0,Delivery,brookefield
BIB-Breakfast in the Box,1,0,3.7,61,Delivery,American Sandwich,600.0,Delivery,whitefield brookefield
Cupcake Bliss,1,0,3.2,6,Bakery,Bakery,250.0,Delivery,brookefield
Nagas,1,0,3.0,9,Takeaway Delivery,Andhra Hyderabadi NorthIndian,300.0,Delivery,"varthurmainroad,whitefield brookefield"
Estaa Sweets,1,0,3.3,5,SweetShop,Mithai Desserts,300.0,Delivery,marathahalli brookefield
Mugs N Burgers,1,1,4.0,130,Cafe,Cafe Burger Chinese FastFood Beverages,600.0,Delivery,brookefield
nu.tree,1,0,4.3,170,QuickBites BeverageShop,NorthIndian HealthyFood Beverages,400.0,Delivery,whitefield brookefield
Hyderabad Chefs,1,0,4.0,717,CasualDining,Hyderabadi Andhra NorthIndian Chinese SouthIndian,800.0,Delivery,marathahalli brookefield
Dil Se Dilli,1,0,3.8,281,CasualDining,NorthIndian Mughlai,700.0,Delivery,whitefield brookefield
Rajdhani Thali Restaurant,1,1,3.8,741,CasualDining,NorthIndian,900.0,Delivery,whitefield brookefield
Barkaas,1,1,4.3,176,CasualDining,Arabian Biryani Desserts Beverages Salad,1000.0,Delivery,marathahalli brookefield
Khan Saheb Grills and Rolls,1,0,3.8,303,QuickBites,FastFood Rolls,350.0,Delivery,whitefield brookefield
Simhapuri Kitchen,1,1,4.0,510,CasualDining,Andhra Biryani Chinese SouthIndian,800.0,Delivery,brookefield
Bobacha,1,0,4.1,74,BeverageShop,Beverages BubbleTea Tea,300.0,Delivery,whitefield brookefield
Punjab Grill,1,0,4.9,518,CasualDining,NorthIndian,2000.0,Delivery,whitefield brookefield
Biryani Kitchen,1,0,4.3,627,FoodCourt,Biryani,450.0,Delivery,whitefield brookefield
Palak Ande Ka Funda,1,0,3.3,90,QuickBites,NorthIndian,300.0,Delivery,brookefield
Chaat Bazaar,1,0,3.7,34,QuickBites,StreetFood,300.0,Delivery,whitefield brookefield
The Farm House Bar n Grill,0,0,3.7,34,CasualDining Bar,NorthIndian Continental,800.0,Delivery,whitefield brookefield
Odisha Platter,1,0,3.8,294,QuickBites,Oriya,350.0,Delivery,marathahalli brookefield
Goli Vada Pav No. 1,1,0,3.7,188,QuickBites,StreetFood,200.0,Delivery,brookefield
Desi Bites,1,0,3.9,79,QuickBites,NorthIndian,250.0,Delivery,marathahalli brookefield
Keventers,1,0,3.6,63,BeverageShop DessertParlor,Desserts Beverages IceCream,400.0,Delivery,"itplmainroad,whitefield brookefield"
@ Biryani Central,1,0,2.7,135,CasualDining,Biryani Mughlai Chinese NorthIndian,550.0,Delivery,marathahalli brookefield
Bangalore Mandarin,1,0,4.2,764,CasualDining,Chinese Seafood,1100.0,Delivery,whitefield brookefield
Masala Chai,1,0,4.1,191,BeverageShop QuickBites,Beverages FastFood Tea,250.0,Delivery,whitefield brookefield
Chatpata India,1,0,3.9,100,FoodCourt,NorthIndian,400.0,Delivery,whitefield brookefield
Oliver's Pub & Diner,1,1,3.9,539,Pub CasualDining,FingerFood American Continental Burger Pizza,1500.0,Delivery,whitefield brookefield
Biriyani Zone,1,0,3.9,1618,CasualDining,Biryani NorthIndian Chinese Seafood,800.0,Delivery,whitefield brookefield
New Punjabi Tasty Khana,1,0,3.0,177,QuickBites,NorthIndian Biryani Chinese,400.0,Delivery,whitefield brookefield
Glen's Bakehouse,1,1,4.2,794,Bakery Cafe,Bakery Cafe Italian Desserts,600.0,Delivery,whitefield brookefield
Chin Chin by The Biere Club,1,1,4.2,263,CasualDining,Asian,1500.0,Delivery,whitefield brookefield
Stoner,1,0,4.3,544,DessertParlor Cafe,IceCream Cafe Pizza Burger Desserts Beverages,500.0,Delivery,whitefield brookefield
Cafe Xtasi,1,0,3.0,16,Takeaway Delivery,Pizza,150.0,Delivery,"varthurmainroad,whitefield brookefield"
NH8,1,1,4.1,471,CasualDining,Rajasthani,800.0,Delivery,whitefield brookefield
Cake Dilim,1,0,3.5,16,DessertParlor,Bakery,400.0,Delivery,whitefield brookefield
Toscano,1,1,4.3,1017,CasualDining,Italian Salad,1500.0,Delivery,whitefield brookefield
Kerala Restaurant,1,0,3.4,66,QuickBites,Kerala Biryani,450.0,Delivery,whitefield brookefield
Real Fresh Dosa Corner,1,0,4.2,253,QuickBites,SouthIndian,200.0,Delivery,brookefield
Tall Blonde French,1,0,3.7,81,QuickBites,FastFood,400.0,Delivery,brookefield
Lashiwalla,1,0,2.9,14,BeverageShop,Beverages Juices,100.0,Delivery,marathahalli brookefield
Momo Mania,1,0,3.9,26,QuickBites,Momos FastFood,300.0,Delivery,brookefield
Gowri Gajanand Sweets,1,0,4.0,63,SweetShop,Mithai StreetFood,300.0,Delivery,brookefield
Sri Sai Bhavan,1,0,3.6,37,QuickBites,SouthIndian,300.0,Delivery,brookefield
Chai Mania,1,0,2.8,67,Cafe,Cafe Tea Beverages,300.0,Delivery,marathahalli brookefield
Shake It Off,1,0,3.9,52,BeverageShop,Beverages FastFood,600.0,Delivery,brookefield
Madhu's Tandoori Kitchen,1,0,3.0,17,QuickBites,NorthIndian Chinese Biryani,350.0,Delivery,marathahalli brookefield
New Tandoori Point,1,0,2.4,56,CasualDining,NorthIndian Chinese,600.0,Delivery,marathahalli brookefield
East Delicious,1,0,4.0,497,CasualDining,Chinese Thai,600.0,Delivery,marathahalli brookefield
Rolls Plaza,1,0,3.7,61,QuickBites,FastFood Chinese Rolls,200.0,Delivery,marathahalli brookefield
Mirchi Bites- Spice Heaven,1,0,2.7,12,CasualDining,Hyderabadi Biryani,650.0,Delivery,marathahalli brookefield
Habib Shaheb Kolkatta Katti Rolls,1,0,3.3,4,QuickBites,Rolls Chinese,200.0,Delivery,whitefield brookefield
The Belgian Waffle Company,1,0,3.9,48,DessertParlor,Desserts,250.0,Delivery,brookefield
Dhaba Estd 1986 Delhi,1,1,4.4,1216,CasualDining Bar,NorthIndian,1100.0,Delivery,marathahalli brookefield
Suchithra Biryani House,1,0,4.0,388,CasualDining,Andhra Biryani NorthIndian,500.0,Delivery,marathahalli brookefield
Andhra Mess,1,0,2.8,17,Mess,Andhra Biryani Chinese,400.0,Delivery,brookefield
Waffle Stories,1,0,3.6,13,DessertParlor,Desserts,300.0,Delivery,marathahalli brookefield
Sea Pot,1,0,3.5,9,CasualDining,Seafood NorthIndian,800.0,Delivery,marathahalli brookefield
Hind Ka Chulah,1,0,3.7,204,FoodCourt,NorthIndian Biryani,600.0,Delivery,marathahalli brookefield
Vegtaurant,1,0,3.7,88,QuickBites,NorthIndian Chinese,300.0,Delivery,whitefield brookefield
Ramdev Sagar,1,0,3.9,39,QuickBites,SouthIndian Chinese StreetFood,250.0,Delivery,brookefield
Kapoor's Cafe,0,0,4.2,2992,CasualDining,NorthIndian,800.0,Delivery,whitefield brookefield
The Dhaba,0,1,2.7,442,CasualDining,NorthIndian,900.0,Delivery,marathahalli brookefield
Marigold Fine Dine Restaurant,0,1,4.0,288,CasualDining,Continental Asian,1500.0,Delivery,whitefield brookefield
Flavours Radha Hometel,0,1,3.5,185,CasualDining,NorthIndian Continental Chinese SouthIndian,800.0,Delivery,whitefield brookefield
Bhagini IRIS,0,0,3.6,115,CasualDining,NorthIndian Chinese,600.0,Delivery,whitefield brookefield
Bhagini Kitchen And Bar,0,0,3.8,35,CasualDining Bar,Andhra SouthIndian Chinese NorthIndian,1100.0,Delivery,marathahalli brookefield
Whats Ap,0,0,3.3,6,CasualDining,Andhra,800.0,Delivery,whitefield brookefield
Pulla Reddy Sweets,0,0,3.7,28,SweetShop,Mithai,250.0,Delivery,whitefield brookefield
Apsara Ice Cream,0,0,4.0,90,DessertParlor,IceCream Desserts,200.0,Delivery,whitefield brookefield
Ashirvad Veg,0,0,3.4,9,QuickBites,SouthIndian,300.0,Delivery,marathahalli brookefield
Sai Foods,0,0,4.1,122,QuickBites,NorthIndian,200.0,Delivery,marathahalli brookefield
Kabab Mirchi,0,0,3.4,46,QuickBites,NorthIndian Mughlai Chinese,350.0,Delivery,whitefield brookefield
Kitchen Online,0,0,3.3,6,Takeaway Delivery,NorthIndian,300.0,Delivery,whitefield brookefield
Annapurna Bengali Restaurant,0,0,3.9,50,CasualDining,Bengali,500.0,Delivery,whitefield brookefield
California Burrito,0,0,3.9,123,FoodCourt QuickBites,Mexican FastFood,400.0,Delivery,whitefield brookefield
Facebake,0,0,4.0,50,DessertParlor,Desserts Bakery,300.0,Delivery,marathahalli brookefield
Odia By Nature,0,0,3.7,41,QuickBites,Oriya,500.0,Delivery,marathahalli brookefield
Food Point,0,0,3.2,167,CasualDining,NorthIndian,450.0,Delivery,whitefield brookefield
HIGH SKY,0,0,3.6,32,CasualDining,Continental NorthIndian Chinese Arabian,1000.0,Delivery,whitefield brookefield
Oven Fresh,0,0,2.9,21,QuickBites,Bakery FastFood,600.0,Delivery,whitefield brookefield
Sweet Chariot,0,0,2.8,34,Bakery DessertParlor,Bakery FastFood,500.0,Delivery,marathahalli brookefield
Lassi Xpress,0,0,3.4,7,BeverageShop,Beverages Sandwich Desserts,200.0,Delivery,"itplmainroad,whitefield brookefield"
Palar Restaurant,0,0,3.6,19,CasualDining,Andhra NorthIndian,700.0,Delivery,marathahalli brookefield
Southern Spice,0,1,3.0,83,CasualDining,SouthIndian,1200.0,Delivery,whitefield brookefield
Wok With Chung,0,0,3.8,688,CasualDining,Chinese Thai,1000.0,Delivery,marathahalli brookefield
Hyderabad Cuisine Multicuisine Restaurant,0,0,3.7,198,CasualDining,NorthIndian Chinese Biryani,700.0,Delivery,whitefield brookefield
Biryani Lakhnawi,0,0,3.6,13,QuickBites,Lucknowi Biryani,500.0,Delivery,marathahalli brookefield
Bengaluru Square,0,0,3.5,25,QuickBites,Chinese Beverages Andhra,300.0,Delivery,marathahalli brookefield
Spice Boulevard,0,0,3.9,90,Cafe,Cafe Continental Chinese,700.0,Delivery,whitefield brookefield
Hyderabad Cuisine,0,0,2.8,70,CasualDining,Seafood Biryani Hyderabadi NorthIndian,650.0,Delivery,"varthurmainroad,whitefield brookefield"
Ammi's Biryani,0,0,2.1,342,QuickBites,Biryani NorthIndian,500.0,Delivery,marathahalli brookefield
Prajwal The Restaurant,0,0,3.3,47,QuickBites,NorthIndian,300.0,Delivery,marathahalli brookefield
Rayan's Biryani,0,0,3.6,26,QuickBites,Andhra Biryani Beverages Kebab,450.0,Delivery,marathahalli brookefield
Oak Tavern,0,0,3.5,9,CasualDining,Continental NorthIndian,1000.0,Delivery,whitefield brookefield
Corprate Biriyani Adda,0,0,3.0,5,CasualDining,NorthIndian Chinese,500.0,Delivery,whitefield brookefield
Saha Cabin Bengali Hotel,0,0,3.4,5,QuickBites,Bengali,300.0,Delivery,whitefield brookefield
Karavalli Food Court,0,0,3.2,4,CasualDining,SouthIndian,400.0,Delivery,whitefield brookefield
Cafe of Joy,0,0,3.7,51,CasualDining,Continental,600.0,Delivery,whitefield brookefield
Nawabi Handi,0,0,3.4,23,QuickBites,Biryani Hyderabadi NorthIndian,350.0,Delivery,whitefield brookefield
Baba Fattoosh,0,0,3.6,14,Delivery,NorthIndian,300.0,Delivery,whitefield brookefield
Andhra Box,0,0,3.2,4,QuickBites,Andhra Biryani Chinese,400.0,Delivery,marathahalli brookefield
Rara Avis,0,0,3.6,9,Takeaway Delivery,Kerala Seafood Biryani Desserts,400.0,Delivery,"varthurmainroad,whitefield brookefield"
Kabab Ghar,0,0,3.2,4,Takeaway Delivery,Biryani NorthIndian Kebab,600.0,Delivery,whitefield brookefield
Nawab-E-Khana,0,0,3.1,6,QuickBites,NorthIndian Biryani,500.0,Delivery,whitefield brookefield
Kerala Mess,0,0,3.2,8,Mess,Kerala Chinese SouthIndian,300.0,Delivery,marathahalli brookefield
Wish Pot,0,0,3.4,8,Takeaway Delivery,NorthIndian Continental,300.0,Delivery,whitefield brookefield
Delhiciouss,0,0,3.7,24,QuickBites,NorthIndian Sandwich,300.0,Delivery,whitefield brookefield
Swad E Punjab,0,0,3.4,6,CasualDining,NorthIndian,600.0,Delivery,whitefield brookefield
Shanghai Times,0,0,3.4,9,QuickBites,Chinese,400.0,Delivery,whitefield brookefield
ReadyBowl,0,0,3.4,32,Delivery,Andhra SouthIndian NorthIndian Biryani,400.0,Delivery,whitefield brookefield
Kailash Parbat,0,0,2.6,84,FoodCourt,NorthIndian,400.0,Delivery,whitefield brookefield
FIFA Cafe,0,0,3.2,4,Cafe,Cafe Beverages,500.0,Delivery,marathahalli brookefield
Caf Delight,0,0,3.2,40,Cafe QuickBites,Cafe Italian,400.0,Delivery,marathahalli brookefield
RICE BAR,0,0,3.0,10,Delivery,NorthIndian Biryani,500.0,Delivery,marathahalli brookefield
Deccan Spice,0,0,3.4,10,Takeaway Delivery,Andhra NorthIndian,600.0,Delivery,marathahalli brookefield
Sweet Alley,0,0,3.4,6,Takeaway Delivery,Desserts,400.0,Delivery,marathahalli brookefield
Indian Highway Restaurant,0,0,3.2,10,QuickBites,NorthIndian Chinese FastFood,400.0,Delivery,marathahalli brookefield
Delicious Desserts,0,0,3.5,10,Delivery,Desserts,750.0,Delivery,whitefield brookefield
Chashni Sweets,0,0,3.4,8,SweetShop,Mithai StreetFood,200.0,Delivery,whitefield brookefield
BBxR,0,0,3.5,11,Delivery,Biryani Kebab,400.0,Delivery,marathahalli brookefield
Sultan's Biryani,0,0,3.0,10,Delivery,Biryani NorthIndian,700.0,Delivery,marathahalli brookefield
Spoon Me,0,0,3.4,8,Delivery,Bengali NorthIndian Chinese,400.0,Delivery,whitefield brookefield
BBQ King,0,0,3.4,6,CasualDining,FastFood Chinese Burger Hotdogs Sandwich,400.0,Delivery,marathahalli brookefield
Apsara Ice Cream,0,0,3.2,4,DessertParlor,IceCream Desserts,200.0,Delivery,whitefield brookefield
Meat And Eat,0,0,3.4,5,QuickBites,FastFood Burger,500.0,Delivery,whitefield brookefield
Vishwaas Take Away,0,0,3.2,7,QuickBites,NorthIndian Chinese,250.0,Delivery,marathahalli brookefield
Chattorey - The Family Restaurant,0,0,3.4,37,CasualDining,NorthIndian Chinese,400.0,Delivery,marathahalli brookefield
Happy Kitchen,0,0,3.8,78,QuickBites,NorthIndian Chinese,350.0,Delivery,marathahalli brookefield
Mega Bite,0,1,3.6,54,CasualDining,NorthIndian Chinese SouthIndian Continental,1100.0,Delivery,whitefield brookefield
Noibidya,0,0,3.5,44,QuickBites,NorthIndian Bengali,400.0,Delivery,marathahalli brookefield
Inhouse Burger,0,0,3.0,10,QuickBites,Burger FastFood,500.0,Delivery,whitefield brookefield
New Udupi Delicacy,1,0,3.9,84,QuickBites,SouthIndian NorthIndian Chinese,250.0,Delivery,whitefield brookefield
Dakshin Spice,1,1,3.8,384,CasualDining,SouthIndian NorthIndian Chinese Biryani,800.0,Delivery,marathahalli brookefield
Moriz Restaurant,1,0,2.8,1870,CasualDining,Arabian NorthIndian Biryani Chinese Seafood,750.0,Delivery,brookefield
New Food Magic,1,0,3.7,114,QuickBites,NorthIndian Chinese Biryani,400.0,Delivery,marathahalli brookefield
Chef Baker's,1,0,2.8,43,Bakery QuickBites,Bakery,450.0,Delivery,marathahalli brookefield
Basmati Restaurant,1,0,3.1,20,QuickBites,NorthIndian SouthIndian Chinese Biryani,350.0,Delivery,whitefield brookefield
Ooty Chocolates,1,0,3.6,16,DessertParlor,Desserts,300.0,Delivery,whitefield brookefield
Uma Bhai Restaurant,1,0,3.6,26,QuickBites,Oriya,200.0,Delivery,marathahalli brookefield
Cafe Petu,1,0,3.8,373,QuickBites,NorthIndian Sandwich,300.0,Delivery,marathahalli brookefield
Juice Berg,1,0,3.8,42,QuickBites,Beverages FastFood,150.0,Delivery,brookefield
